Astrocytoma,,
210095_s_at,IGFBP3,8.71
218247_s_at,RKHD2,8.65
204646_at,DPYD,8.63
214633_at,SOX3,8.61
206111_at,RNASE2,8.61
204566_at,PPM1D,8.60
205094_at,PEX12,8.59
219837_s_at,CYTL1,8.57
219493_at,SHCBP1,8.53
205381_at,LRRC17,8.53
202430_s_at,PLSCR1,8.51
205091_x_at,RECQL,8.45
220559_at,EN1,8.43
202904_s_at,LSM5,8.39
204846_at,CP,8.38
207437_at,NOVA1,8.34
204463_s_at,EDNRA,8.34
219487_at,FLJ23560,8.33
207030_s_at,CSRP2,8.28
206243_at,TIMP4,8.27
219890_at,CLEC5A,8.21
216191_s_at,TRA@ /// TRD@,8.20
205741_s_at,DTNA,8.19
205893_at,NLGN1,8.19
218782_s_at,ATAD2,8.16
204444_at,KIF11,8.12
220238_s_at,KLHL7,8.01
212122_at,RHOQ /// LOC284988,8.00
214051_at,MGC39900,8.00
214331_at,TSFM,7.98
205990_s_at,WNT5A,7.98
212063_at,CD44,7.90
222039_at,LOC146909,7.90
204619_s_at,CSPG2,7.85
207723_s_at,KLRC3,7.83
214830_at,SLC38A6,7.83
203764_at,DLG7,7.81
208607_s_at,SAA1 /// SAA2,7.80
220405_at,SNTG1,7.73
217997_at,PHLDA1,7.72
204409_s_at,EIF1AY,7.69
219978_s_at,NUSAP1,7.68
215078_at,SOD2,7.61
214467_at,GPR65,7.56
206018_at,FOXG1B,7.53
201141_at,GPNMB,7.53
219984_s_at,HRASLS,7.52
201430_s_at,DPYSL3,7.51
203645_s_at,CD163,7.51
205173_x_at,CD58,7.50
203854_at,IF,7.49
218875_s_at,FBXO5,7.47
219434_at,TREM1,7.46
218662_s_at,HCAP-G,7.45
205739_x_at,ZNF588,7.43
219181_at,LIPG,7.42
205443_at,SNAPC1,7.42
204962_s_at,CENPA,7.39
202666_s_at,ACTL6A,7.39
212014_x_at,CD44,7.38
207443_at,NR2E1,7.38
210145_at,PLA2G4A,7.36
211506_s_at,IL8,7.35
203290_at,HLA-DQA1,7.34
211527_x_at,VEGF,7.33
212709_at,NUP160,7.30
221618_s_at,TAF9L,7.29
214204_at,PACRG,7.29
204807_at,TMEM5,7.29
205234_at,SLC16A4,7.26
214841_at,CNIH3,7.22
210664_s_at,TFPI,7.22
203184_at,FBN2,7.19
209773_s_at,RRM2,7.15
204944_at,PTPRG,7.13
216942_s_at,CD58,7.10
219983_at,HRASLS,7.08
203373_at,SOCS2,7.07
201645_at,TNC,7.05
214954_at,KIAA0527,7.05
203868_s_at,VCAM1,7.03
204410_at,EIF1AY,7.03
212839_s_at,SSA2,7.01
218981_at,ACN9,7.01
210815_s_at,CALCRL,7.01
202238_s_at,NNMT,6.94
218349_s_at,ZWILCH,6.94
222237_s_at,ZNF228,6.94
210508_s_at,KCNQ2,6.93
218718_at,PDGFC,6.93
204602_at,DKK1,6.92
206336_at,CXCL6,6.92
204162_at,KNTC2,6.92
204529_s_at,TOX,6.90
213060_s_at,CHI3L2,6.85
203372_s_at,SOCS2,6.84
205499_at,SRPX2,6.80
217787_s_at,GALNT2,6.78
205876_at,LIFR,6.76
213679_at,FLJ13946,6.76
205140_at,FPGT,6.75
59437_at,C9orf116,6.75
208103_s_at,ANP32E,6.74
212917_x_at,RECQL,6.74
205830_at,CLGN,6.71
204159_at,CDKN2C,6.70
214564_s_at,PCDHGC3,6.69
201461_s_at,MAPKAPK2,6.65
219979_s_at,HSPC138,6.65
206190_at,GPR17,6.64
214452_at,BCAT1,6.64
205493_s_at,DPYSL4,6.64
210175_at,C2orf3,6.64
